0.00169571	6.235e-05	0.0692239
3.0862e-05	2.7169e-05	5.7128e-05
3.0311e-05	2.9831e-05	3.3659e-05
2.3944e-05	2.776e-05	3.1557e-05
3.1054e-05	2.8842e-05	2.9519e-05
2.6977e-05	2.9449e-05	2.9562e-05
2.7229e-05	2.929e-05	3.1472e-05
2.4318e-05	3.1691e-05	3.3558e-05
3.5615e-05	3.3407e-05	3.5291e-05
3.2083e-05	3.7261e-05	3.8196e-05
4.9415e-05	4.598e-05	5.4581e-05
5.765e-05	6.5196e-05	7.1396e-05
7.1582e-05	6.8893e-05	9.2515e-05
0.000107505	0.000105034	0.000144292
0.000249757	0.000177399	0.000422141
0.000401904	0.000330182	0.000625921
0.000685227	0.00056248	0.000973238
0.00121462	0.00102748	0.00140083
0.00215522	0.00189045	0.00259044
0.00414851	0.00367716	0.00442225
0.00811054	0.00735709	0.00847338
0.0166076	0.0160871	0.0169626
0.0333133	0.0326288	0.0335419
0.0681871	0.0667997	0.0680591
0.136655	0.134423	0.135978
0.26814	0.262915	0.265649
0.537019	0.526199	0.53108
1.14613	1.05409	1.06288
2.25886	2.10496	2.12402
