
0.227064	0.000239858	0.00210119

0.000165015	0.000120362	0.0019941

0.000657186	0.000203521	0.005498

0.000834675	0.000460178	0.0113376

0.000980605	0.000626795	0.0190099

0.00106846	0.000949859	0.0278744

0.0013086	0.00145347	0.0343269

0.00149043	0.00203897	0.0503289

0.00186848	0.00287975	0.0661806

0.00206569	0.00372198	0.0863699

0.00283404	0.00484044	0.107068

0.00278872	0.00586275	0.123367

0.00367146	0.00758288	0.142313

0.00387094	0.0090248	0.280392

0.00464958	0.0108322	0.33189

0.00532309	0.0134771	0.747308

0.0064573	0.0178049	2.16991

0.00712446	0.0217735	4.60906

0.00824619	0.0323312	24.1519
